,callDateTime,priority,district,description,callNumber,incidentLocation,location
1048161,11/11/2015 17:20,Medium,WD,911/NO  VOICE,P153152249,2100 WINDSOR AV,"(39.3128987,-76.6514987)"
1048162,11/11/2015 17:21,Low,ND,AUTO ACCIDENT,P153152250,MILES AV/W 0TH ST,"(39.320343,-76.623333)"
1048163,11/11/2015 17:22,Low,NE,HIT AND RUN,P153152251,3900 FRANKFORD AV,"(39.3418820,-76.5528750)"
1048164,11/11/2015 17:23,Medium,CW,Lab Request,P153152252,1200 HAVERHILL RD,"(39.2669270,-76.6759390)"
1048165,11/11/2015 17:21,Medium,ED,DISORDERLY,P153152253,PULASKI HY/N HAVEN ST,"(39.297063,-76.563079)"
1048166,11/11/2015 17:20,Medium,NE,911/NO  VOICE,P153152254,1500 ARGONNE DR,"(39.3398933,-76.5936734)"
1048167,11/11/2015 17:24,High,NW,Field Interview,P153152256,REISTERSTOWN RD/SPRINGHILL AV,"(39.331411,-76.662162)"
1048168,11/11/2015 17:22,Medium,SW,AED NONBREATHING,P153152257,2400 CHRISTIAN ST,"(39.2803771,-76.6538655)"
1048169,11/11/2015 17:22,Medium,NE,DISORDERLY,P153152258,5500 BELAIR RD,"(39.3398831,-76.5494233)"
1048170,11/11/2015 17:21,Low,ED,WANTED ON WARR,P153152259,1700 N DALLAS ST,"(39.3098160,-76.5977332)"
1048171,11/11/2015 17:23,Medium,WD,911/NO  VOICE,P153152260,2000 WINCHESTER ST,"(39.3018365,-76.6515506)"
